Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
_field63	ATTRIBUTE	C	toggldesktop	third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Tools/google-toolbox-for-mac-trunk-r582/XcodePlugin/XcodeHeaders/DevToolsCore.h	field 63	N D	125	N D	N D	N D	N D
_from	PARAMETER	C++	s3fs-fuse	src/s3fs.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs.cpp	from	P	10	P	P	P	P
_host1	PARAMETER	C	naemon-core	src/naemon/objects_host.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objects_host.c	host 1	N D	125	N D	N D	N D	N D
_instr_max	ATTRIBUTE	C++	toggldesktop	third_party/plcrashreporter/Source/dwarf_opstream.hpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/plcrashreporter/Source/dwarf_opstream.hpp	instr max	NM N	103	NM N	NM N	NM N	NM N
_lastusedYpos	ATTRIBUTE	Java	Spark	plugins/roar/src/main/java/org/jivesoftware/spark/roar/displaytype/BottomRight.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/roar/src/main/java/org/jivesoftware/spark/roar/displaytype/BottomRight.java	last used Ypos	DT V N	1	DT V N	DT V N	DT V N	DT V N
_look_at	ATTRIBUTE	C++	panda3d	panda/src/display/graphicsOutput.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/display/graphicsOutput.cxx	look at	V P	9	V P	V P	V P	V P
_lookandfeel	ATTRIBUTE	Java	Spark	core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	look and feel	NM CJ NM	2	NM CJ NM	V CJ V	V CJ V	N CJ N
_lookandfeelLabel	ATTRIBUTE	Java	Spark	core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	look and feel Label	NM CJ NM N	1	NM CJ NM N	V CJ V N	V CJ V N	NM CJ NM N
_next_tex	ATTRIBUTE	C++	panda3d	pandatool/src/maxegg/maxEggLoader.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/maxegg/maxEggLoader.cxx	next tex	DT N	109	DT N	DT N	DT N	DT N
_samples_per_buffer	ATTRIBUTE	C++	panda3d	panda/src/movies/microphoneAudioDS.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/movies/microphoneAudioDS.cxx	samples per buffer	NPL P N	8	NPL P N	NPL P N	NPL P N	NPL P N
_SM83InstructionIRQStall	FUNCTION	C	mgba	src/sm83/sm83.c	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/sm83/sm83.c	SM83 Instruction IRQ Stall	PRE PRE NM N	4	PRE PRE NM N	PRE PRE NM N	PRE PRE NM N	NM N NM N
_SM83TickInternal	FUNCTION	C	mgba	src/sm83/sm83.c	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/sm83/sm83.c	SM83 Tick Internal	PRE N NM	5	PRE N NM	PRE N NM	PRE N NM	NM N NM
_up	ATTRIBUTE	C++	panda3d	panda/src/display/graphicsOutput.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/display/graphicsOutput.cxx	up	P	10	P	P	P	P
a_cap	PARAMETER	C	rigraph	src/vendor/cigraph/vendor/glpk/api/maxffalg.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/api/maxffalg.c	a cap	NM N	103	NM N	NM N	NM N	NM N
a_len	PARAMETER	C	naemon-core	lib/kvvec.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/lib/kvvec.c	a len	NM N	103	DT N	DT N	DT N	NM N
a_light	PARAMETER	C++	freeminer	src/mapnode.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapnode.cpp	a light	DT N	109	DT N	DT N	DT N	DT N
a_low	PARAMETER	C	rigraph	src/vendor/cigraph/vendor/glpk/api/mcflp.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/api/mcflp.c	a low	NM N	103	NM N	NM N	NM N	NM N
a_type	PARAMETER	C	ovs	lib/ovsdb-data.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/ovsdb-data.h	a type	NM N	103	DT N	DT N	DT N	NM N
a0	PARAMETER	C	rigraph	src/vendor/cigraph/vendor/f2c/s_cmp.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/f2c/s_cmp.c	a 0	N D	125	N D	N D	N D	N D
a3	DECLARATION	C	toggldesktop	third_party/poco/PDF/src/gzio.c	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/PDF/src/gzio.c	a 3	N D	125	N D	N D	N D	N D
aboveBase	PARAMETER	C++	proxygen	proxygen/lib/http/codec/compress/QPACKDecoder.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/codec/compress/QPACKDecoder.cpp	above Base	P N	70	P N	P N	P N	P N
AbstractSV2Copier	CLASS	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/svremover/AbstractSV2Copier.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/svremover/AbstractSV2Copier.java	Abstract SV 2 Copier	NM N D N	1	NM N D N	NM N D N	NM N D N	NM N P N
aChange	PARAMETER	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	a Change	PRE N	7	PRE N	DT N	DT N	DT N
actx	PARAMETER	C	wireshark	epan/dissectors/asn1/kerberos/packet-kerberos-template.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/asn1/kerberos/packet-kerberos-template.c	a ctx	NM N	103	NM N	NM N	NM N	NM N
add_before_forward	FUNCTION	C++	caffe	include/caffe/net.hpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/include/caffe/net.hpp	add before forward	V P N	12	V P N	V P N	V P N	V P N
add_custom_variable_to_service	FUNCTION	C	naemon-core	src/naemon/objects_service.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objects_service.c	add custom variable to service	V NM N P N	5	V NM N P N	V NM N P N	V NM N P N	V NM N P N
add_no_truncate_cache	PARAMETER	C++	s3fs-fuse	src/s3fs.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs.cpp	add no truncate cache	V DT NM N	3	V DT NM N	V DT NM N	V DT NM N	V DT NM N
add_noexist	PARAMETER	C++	s3fs-fuse	src/metaheader.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/metaheader.cpp	add no exist	V DT V	1	V DT V	V DT V	V DT V	V DT V
add_parent_to_host	FUNCTION	C	naemon-core	src/naemon/objects_host.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/objects_host.c	add parent to host	V N P N	3	V N P N	V N P N	V N P N	V N P N
add_temp_to_args	DECLARATION	C	weechat	src/core/wee-string.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/wee-string.c	add temp to args	V N P NPL	1	V N P NPL	V N P NPL	V N P NPL	V N P NPL
addMenuForListNodes	FUNCTION	Java	Spark	core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java	add Menu For List Nodes	V N P NM NPL	1	V N P NM NPL	V N P NM NPL	V N P NM NPL	V N P NM NPL
adjust_to_camera	FUNCTION	C++	panda3d	panda/src/pgraph/fog.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pgraph/fog.cxx	adjust to camera	V P N	12	V P N	V P N	V P N	V P N
adler1	DECLARATION	C	mgba	src/third-party/zlib/adler32.c	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/zlib/adler32.c	adler 1	N D	125	N D	N D	N D	N D
after	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	after	P	10	P	P	P	P
after_handle	DECLARATION	C	crow	include/crow/middleware.h	https://github.com/ipkn/crow/blob/2b43d3cd6a9a9cdbc99dfef9b86ff3f3027f3d1f/include/crow/middleware.h	after handle	P N	70	P N	P N	P N	P N
after_release	ATTRIBUTE	C	wireshark	plugins/epan/mate/mate.h	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/plugins/epan/mate/mate.h	after release	P N	70	P N	P N	P N	P N
after_write_cb	ATTRIBUTE	C	ccv	serve/ebb.h	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/serve/ebb.h	after write cb	P V N	2	P V N	P V N	P V N	P V N
after1	DECLARATION	C++	meta	src/analyzers/filters/ptb_normalizer.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/analyzers/filters/ptb_normalizer.cpp	after 1	P D	2	P D	P D	P D	P D
after2	DECLARATION	C++	meta	src/analyzers/filters/ptb_normalizer.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/analyzers/filters/ptb_normalizer.cpp	after 2	P D	2	P D	P D	P D	P D
afterEquals	DECLARATION	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java	after Equals	P N	70	P N	P NPL	P N	P NPL
afterFiltersClosed	FUNCTION	Java	Smack	smack-tcp/src/main/java/org/jivesoftware/smack/tcp/XmppTcpTransportModule.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-tcp/src/main/java/org/jivesoftware/smack/tcp/XmppTcpTransportModule.java	after Filters Closed	P NPL V	1	P NPL V	P NPL V	P NPL V	P NPL V
afterFirstBatch	ATTRIBUTE	Java	drill	exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	after First Batch	P NM N	31	P NM N	P NM N	P NM N	P NM N
afterJoinSendHistory	FUNCTION	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/FMUCHandler.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/FMUCHandler.java	after Join Send History	P V V N	1	P V V N	P V V N	P V V N	P V V N
afterLast	FUNCTION	Java	drill	exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillResultSetImpl.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillResultSetImpl.java	after Last	P DT	3	P DT	P DT	P DT	P DT
afterLastRow	ATTRIBUTE	Java	drill	exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	after Last Row	P NM N	31	P NM N	P NM N	P NM N	P NM N
afterProcessing	ATTRIBUTE	Java	immutables	generator/src/org/immutables/generator/EnvironmentState.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/EnvironmentState.java	after Processing	P V	13	P V	P V	P V	P V
afterRound	ATTRIBUTE	Java	immutables	generator/src/org/immutables/generator/EnvironmentState.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/EnvironmentState.java	after Round	P N	70	P N	P N	P N	P N
afterXStanzas	ATTRIBUTE	Java	Smack	smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java	after X Stanzas	P D NPL	1	P D NPL	P NM NPL	P D NPL	P NM NPL
alias_off	ATTRIBUTE	C	ccv	lib/nnc/_ccv_nnc_dynamic_graph.h	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/_ccv_nnc_dynamic_graph.h	alias off	NM N	103	NM N	NM N	NM N	NM N
all_set	DECLARATION	C	wireshark	epan/dissectors/packet-erf.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-erf.c	all set	DT N	109	DT N	DT N	DT N	DT N
all_space_after	DECLARATION	C	crow	include/crow/mustache.h	https://github.com/ipkn/crow/blob/2b43d3cd6a9a9cdbc99dfef9b86ff3f3027f3d1f/include/crow/mustache.h	all space after	DT N P	2	DT N P	DT N P	DT N P	DT N P
all_space_before	DECLARATION	C	crow	include/crow/mustache.h	https://github.com/ipkn/crow/blob/2b43d3cd6a9a9cdbc99dfef9b86ff3f3027f3d1f/include/crow/mustache.h	all space before	DT N P	2	DT N P	DT N P	DT N P	DT N P
all_synced	FUNCTION	C	ovs	lib/rstp-state-machines.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/rstp-state-machines.c	all synced	DT V	7	DT V	DT V	DT V	DT V
allAnnotatedElements	FUNCTION	Java	immutables	value-processor/src/org/immutables/value/processor/meta/Round.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/Round.java	all Annotated Elements	DT NM NPL	5	DT NM NPL	DT NM NPL	DT NM NPL	DT NM NPL
allCasts	DECLARATION	Java	drill	contrib/format-httpd/src/main/java/org/apache/drill/exec/store/httpd/HttpdParser.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-httpd/src/main/java/org/apache/drill/exec/store/httpd/HttpdParser.java	all Casts	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allColsIndexed	PARAMETER	Java	drill	contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	all Cols Indexed	DT NPL V	3	DT NPL V	DT NPL V	DT NPL V	DT NPL V
allDrillbits	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/planner/fragment/QueueQueryParallelizer.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/planner/fragment/QueueQueryParallelizer.java	all Drill bits	DT NM NPL	5	DT NM NPL	DT NM NPL	DT NM NPL	DT NM NPL
allErrors	DECLARATION	C++	toggldesktop	third_party/jsoncpp/src/lib_json/json_reader.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/jsoncpp/src/lib_json/json_reader.cpp	all Errors	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allExprs	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/SplitUpComplexExpressions.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/SplitUpComplexExpressions.java	all Exprs	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allFields	ATTRIBUTE	Java	drill	contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	all Fields	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allFinal	PARAMETER	Java	immutables	value-processor/src/org/immutables/value/processor/meta/ValueType.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/ValueType.java	all Final	DT N	109	DT N	DT N	DT N	DT N
allLabels	ATTRIBUTE	Java	deeplearning4j	deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/iterator/provider/CollectionLabeledPairSentenceProvider.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/iterator/provider/CollectionLabeledPairSentenceProvider.java	all Labels	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allMethods	PARAMETER	Java	cglib	cglib/src/main/java/net/sf/cglib/core/DuplicatesPredicate.java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/core/DuplicatesPredicate.java	all Methods	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allMetrics	DECLARATION	Java	drill	contrib/storage-opentsdb/src/main/java/org/apache/drill/exec/store/openTSDB/OpenTSDBGroupScan.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/storage-opentsdb/src/main/java/org/apache/drill/exec/store/openTSDB/OpenTSDBGroupScan.java	all Metrics	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allMirrors	FUNCTION	Java	immutables	mirror/src/org/immutables/mirror/processor/Mirrors.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/mirror/src/org/immutables/mirror/processor/Mirrors.java	all Mirrors	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allNames	PARAMETER	Java	cglib	cglib/src/main/java/net/sf/cglib/beans/BeanMapEmitter.java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/beans/BeanMapEmitter.java	all Names	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allNewSchemaPaths	FUNCTION	Java	drill	contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBFunctionalIndexInfo.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBFunctionalIndexInfo.java	all New Schema Paths	DT NM NM NPL	1	DT NM NM NPL	DT NM NM NPL	DT NM NM NPL	DT NM NM NPL
allOpenWorkspaces	FUNCTION	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/executioner/DefaultOpExecutioner.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/executioner/DefaultOpExecutioner.java	all Open Workspaces	DT NM NPL	5	DT NM NPL	DT NM NPL	DT NM NPL	DT NM NPL
allOptions	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/server/options/SystemOptionManager.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/server/options/SystemOptionManager.java	all Options	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allow_login_or_register	ATTRIBUTE	C	freeminer	src/gui/guiMainMenu.h	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/gui/guiMainMenu.h	allow login or register	V V CJ V	1	V V CJ V	V V CJ V	V V CJ V	V V CJ V
allPools	PARAMETER	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/config/selectionpolicy/AbstractQueueSelectionPolicy.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/config/selectionpolicy/AbstractQueueSelectionPolicy.java	all Pools	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allProceduresAreCallable	FUNCTION	Java	drill	exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillDatabaseMetaDataImpl.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillDatabaseMetaDataImpl.java	all Procedures Are Callable	DT NPL V NM	1	DT NPL V NM	DT NPL V NM	DT NPL V NM	DT NPL V NM
allProjects	ATTRIBUTE	Java	deeplearning4j	codegen/op-codegen/src/main/java/org/nd4j/codegen/cli/PicoCliCodeGen.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/codegen/op-codegen/src/main/java/org/nd4j/codegen/cli/PicoCliCodeGen.java	all Projects	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
allRoomNames	DECLARATION	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/util/cache/ConsistencyChecks.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/cache/ConsistencyChecks.java	all Room Names	DT NM NPL	5	DT NM NPL	DT NM NPL	DT NM NPL	DT NM NPL
allServiceResponse	PARAMETER	Java	drill	drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java	all Service Response	DT NM N	40	DT NM N	DT NM N	DT NM N	DT NM N
