name	context	language		grammar pattern	split	Count	Notes	final_axial_code	Christian Axial Code	Eman Axial Code	Syreen Axial Code
as_warning	PARAMETER	C	https://github.com/Juniper/libxo/blob/290d88625c683bca60e05e68dd2003c290f50f99/libxo/libxo.c	P N	as warning	70	This variable represents a boolean that is used to determine how a problem/error message should be generated. If it's true, the message is generated as a warning, otherwise, it's an error.	Boolean Flow / Control Flag x Operation Basis / Strategy	Type Casting / Interpretation	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag x Operation Basis / Strategy
asArray	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-log/src/main/java/org/apache/drill/exec/store/log/LogBatchReader.java	P N	as Array	70	This variable is a booolean that helps determine if the columns of a given object should be written as an array. If it's true, the ColumnsArrayWriter function is invoked. Otherwise, the ScalarGroupWriter is invoked.	Boolean Flow / Control Flag x Operation Basis / Strategy	Type Casting / Interpretation	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag x Operation Basis / Strategy
asDiamond	DECLARATION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java	P N	as Diamond	70	This variable is a lambda function that transforms an input object into a generic type parameter representation. If noDiamonds() is true, it wraps the input in angle brackets <>. Otherwise, it returns empty angle brackets<>. It uses 'as' since its goal is to allow an object (likely a type) to be formatted/interpreted in as a generic declaration (using the diamond syntax)	Boolean Flow / Control Flag x Type Casting / Interpretation	Boolean Flow / Control Flag x Type Casting / Interpretation	Boolean Flow / Control Flag	Boolean Flow / Control Flag x Type Casting / Interpretation
asDouble	FUNCTION	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/buffer/CudaUInt32DataBuffer.java	P N	as Double	70	This variable represents a function that interprets the calling object as a double by calling functions to convert to doubles.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asFunction	ATTRIBUTE	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/escape/Escaper.java	P N	as Function	70	This variable is a function that invokes escape(string) on the calling object. It is called asFunction because it is a transformation/interpretation of the Escaper class as a function, allowing the calling to retrieve asFunction() and use it in functional programming contexts.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asInt64	FUNCTION	C++	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/jsoncpp/src/lib_json/json_value.cpp	P N	as Int64	70	This variable is a function that interprets the calling object (or some attribute of it) as a 64 bit integer. It uses the word 'as' to indicate this idea of (re)interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asLong	DECLARATION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/primitives/UnsignedInts.java	P N	as Long	70	This variable is a long that has been interpreted from an integer using an int mask that likely masks the sign bit in the integer to make it an unsigned long. The use of 'as' indicates the (re)interpretation of the integer to a long	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asMap	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/vector/src/main/codegen/templates/UnionWriter.java	P N	as Map	70	This variable is a function forces the current data type to be interpreted as a map. The use of 'as' indicates the (re)interpretation of the calling object into a map data structure.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asString	DECLARATION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java	P N	as String	70	This variable is a string that has been constructed by transforming a set object into a string format. The use of 'as' indicates the reinterpretation/transformation of the set into a string format.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asV	DECLARATION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java	P N	as V	70	This variable represents a conversion/reinterpratation from object to type V, which may be some sort of generic type. It stands for value.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asVar	FUNCTION	C++	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/JSON/src/Handler.cpp	P N	as Var	70	This variable is a function that likely represents the conversion of the calling object to Var	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asWriter	FUNCTION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/io/CharStreams.java	P N	as Writer	70	This variable is a function that explict converts the 'target' parameter to a type of writer.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
behind_size	PARAMETER	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	P N	behind size	70	this variable is used to track the size of a segment being processed. It contrasts with another variable that uses the word front, indicating that behind is a reference to the position of some data within the untreated_list data structure	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
behind_start	PARAMETER	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	P N	behind start	70	this variable is used to represent the starting position of a segment being processed. It contrasts with another variable that uses the word front, indicating that behind is a reference to the position of some data within the untreated_list data structure	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
down_time	ATTRIBUTE	C	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/fm_touchscreengui.h	P N	down time	70	This variable keeps track of when a key press event occurs and specifically measures the amount of time that a key depressed (pushed down). This is essentially amount of time per key press.	Unit-Based Decomposition / Measurement	Unit-Based Decomposition / Measurement	Unit-Based Decomposition / Measurement	Unit-Based Decomposition / Measurement
for_avg	DECLARATION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/parser/sr_parser.cpp	P N	for avg	70	Thisv accumulates updates across iterations; it stores intermediate updates for model training, and is used to compute averaged weights over iterations. The use of 'for' is to clue the reader in the purpose of this variable (i.e., it is for computing averages).	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forBackprop	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java	P N	for Backprop	70	This is a boolean variable that only allows the code in its associated if statement to be executed when it is true. It is used to indicate when this function is being called for the purposes of back propagation in the process of training a neural network. The use of 'for' clues the reader in on the purpose of the variable and assocaited code (i.e., it is to be used during backgprop)	Boolean Flow / Control Flag x Purpose / Role Annotation	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
forClass	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java	P N	for Class	70	This variable takes a className as input and returns a TypeDescriptor representing the specified class. The use of 'for' emphasizes that it is a factory method (returns a typedescriptor for a specific class) and/or that it is specialized for class types (as opposed to primitive types, there is also a forPrimitives functionc all).	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forClient	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/config/DrillConfig.java	P N	for Client	70	This variable is a function that creates a configuration file with server-specific configuration options disabled. The use of 'for' helps convey that it is generated a config for a particular purpose, so some options that are irrelevant to that purpose will be disabled	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forImplementation	FUNCTION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/Visibility.java	P N	for Implementation	70	This variable is a function that returns a level of visibility (which is an enum). Package, private, public, or same. The use of 'for' indicates that this function returns the visibility for a particular impementation. That is, it emphasized the implementation-specific behavior of the function; providing the ENUM for the implementation specific visibility passed in as its argument.	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forNumber	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/protocol/src/main/java/org/apache/drill/common/types/TypeProtos.java	P N	for Number	70	This variable returns the enum associated with a numeric wire value given as a parameter. The word 'for' indicates the fact that it is returning the enum specific to the value it takes as a parameter-- that is, the enum relevant 'for' the value.	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forResource	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/scanner/ClassPathScanner.java	P N	for Resource	70	This variable interacts with ClassLoader, URL, and a Set<URL> to retrieve and return resources. It retrieves URLs for a specific resource, using the word 'for' to specify that it is retreiving values associated with the thing it's next to (forX where X is resources)	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
from_context	PARAMETER	C	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pipeline/threadSimpleManager.h	P N	from context	70	this variable represents the current or previous thread context that is being switched from. It impies that the variable refers to the context being left behind as the thread manager transitions to the next context, thus the word 'from'	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
from_id	PARAMETER	C	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/DHT.c	P N	from id	70	This variable represents the node ID of a sender. It's part of a Distributed Hash Table implementation. It's part of a function called DHT_getnodes, which calls another getnodes function. the variable, from_id, identifies who made the request and prevents returning information about the requestor itself. The use of 'from' indicates that this identifier comes from the requesting node. 'from' is a hint about the source of the id.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromEmail	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/EmailService.java	P N	from Email	70	This variable represents the sender of the email, reference to an external entity. It is the email address of the sender of the email	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromHeader	ATTRIBUTE	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/sip/src/main/java/net/java/sipmack/sip/SipManager.java	P N	from Header	70	This variable is a SIP (Session Initiation Protocol) header that identifies the originating user or entity in a SIP request. the word 'from' follows the from_x pattern we see in other identifiers, where it specifies the source of a request/action/resource.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromInclusive	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/collect/AbstractMapBasedMultimap.java	P N	from Inclusive	70	This variable is part of a NavigableSet implementation. fromInclusive is a boolean specifying whether fromElement is included or excluded in the subset. The use of 'from' identifies whether the 'from' boundary should be included or excluded. It is used alongside another variable that uses 'to'-- that is, 'from' ... 'to', thus this also helps identify the fact that we are dealing with a range; a source and destination; a span of sorts that is created by filtering a set based on the true or false condition of fromInclusive.	Boolean Flow / Control Flag x Data Source / Origin	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
fromIterator	FUNCTION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/Iterators.java	P N	from Iterator	70	this variable is a method that applies a functional transformation (Function<? super F, ? extends T> function). The name is a reference to the fact that the iterator points to a source. From also seems to imply more of an action (a transformation) versus other options for naming, like sourceIterator.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromJID	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MUCEventListener.java	P N	from JID	70	This variable is the JID of who the message came from. Thus, it's the JID of the source or requestor.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromKey	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/Maps.java	P N	from Key	70	this variable represents the key of a source container (a map)	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromServer	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/spi/RoutingTableImpl.java	P N	from Server	70	This variable true if the packet was created by the server. This packets should always be delivered. So it helps identify the source of the packet.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
fromY	PARAMETER	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/roar/src/main/java/org/jivesoftware/spark/roar/gui/SparkToaster.java	P N	from Y	70	This variable determines the starting point of the animation. It moves an element from a y position to a y position. Thus the use of 'from' helps identify a starting position, and 'to' is the ending position	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
infor	FUNCTION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator-processor/src/org/immutables/generator/processor/TemplateWriter.java	P N	in for	70	This variable tracks the nesting level of loops, the preposition 'in' enforces the understanding that a for loop is the context of interest, and establishes a relationship for the current execution state; we are inside of a for  loop.	Membership / Peer Grouping	Membership / Peer Grouping	Membership / Peer Grouping	Membership / Peer Grouping
inLiteral	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/FastDateFormat.java	P N	in Literal	70	This variable is a boolean that keeps track of whether the current parsing process is inside a literal text section. Thus, the preposition is asking a question about the parsing position/state	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
inTransaction	DECLARATION	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/datapath-windows/ovsext/TunnelFilter.c	P N	in Transaction	70	This variable is a boolean that tracks whether the function has successfully started a transaction. I tracks the state of a computation.	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
on_disk	ATTRIBUTE	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/index.h	P N	on disk	70	This variable is used like a boolean (in C) and is specifically used to track whether an index is on disk or not. It's asking a question-- is it on the disk?	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
on_reason	ATTRIBUTE	C	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/external/http_parser/http_parser.h	P N	on reason	70	This is a callback that is triggered during HTTP response. The use of on indicates that it is part of some event handling (e.g., it is called/read/mutated when something happens)	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
on_start	FUNCTION	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/include/caffe/parallel.hpp	P N	on start	70	This is a callback that triggers when specific criteria are met. In this case, on_start is the initial callback that deals with startup processing. The use of 'on' indicates the event-driven nature of the function.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
on_start_	ATTRIBUTE	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/python/caffe/_caffe.cpp	P N	on start	70	This is a callback that triggers when specific criteria are met. In this case, on_start is the initial callback that deals with startup processing. The use of 'on' indicates the event-driven nature of the function. It interacts with the other on_start function that we analyzed earlier, repersenting a protected attribute that contains the address of the other on_start function	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
on_status	ATTRIBUTE	C	https://github.com/ipkn/crow/blob/2b43d3cd6a9a9cdbc99dfef9b86ff3f3027f3d1f/include/crow/http_parser_merged.h	P N	on status	70	This is a callback that is executed when an HTTP status line is encountered during parsing. The use of 'on' indicates the event-driven nature of the function.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
onTick	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java	P N	on Tick	70	This variable represents a function tha tis used as a callback. The onTick function acts as a timekeeper, updating pollable and controller objects with the current time. The use of 'on' indicates the event-driven nature of the function.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
over_size	DECLARATION	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	P N	over size	70	This variable represents the excess portion of a block that goes beyond the end of the file on S3. It's how much it overshoots the real file size. It is used to determine when extra space is needed. The use of 'over' indicates a surplus, reminder, or excess	Mathematical / Constraint Context	Mathematical / Constraint Context	Mathematical / Constraint Context	Mathematical / Constraint Context
pastThreshold	DECLARATION	Java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityCrashLoops.java	P N	past Threshold	70	This variable is a list of failure timetamps that occurred after the threshold timestamp, which is computed based on how many minutes ago a threshold cooldown period should be evaluated. pastThreshold is the subset of failures that are recent enough to be counted toward triggering cooldown behavior. The use of 'past' indicates a temporal relationship, indicating that these happened after a certain time boundary	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
to_cs	PARAMETER	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/egg/eggXfmAnimData.cxx	P N	to cs	70	This variable represents the coordinate system that will be used as a target coordinate system. It is the coordinate system that the transformation should convert animation data to. The word 'to' indicates the change in system or formatting, from the old to the new.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
to_height	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/win-stats/winStatsPianoRoll.cxx	P N	to height	70	This variable represents a numeric range in the graphs corrdinate space, where the purpose of the code is generally to convert from pixel coordinates to height units. The variable, to_height is part of a range descriptor, where we are moving from one height to another. For example, from_height is the start of a vertical range, and to_height is the end.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
to_repo	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/repository.c	P N	to repo	70	This variable is a target repository path that the function should link to from in_dir. It indicates that the function is writing a link to this repository path. To identifies the destination, and gives some idea of directionality from a source to a destination.	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer
toAck	DECLARATION	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/codec/compress/QPACKDecoder.cpp	P N	to Ack	70	This variable is the number of entries in the QPACK table that have been inserted, but not acknowledged. These are the number of insertions the decoder still needs to acknowledge to the encoder. This means that the to is specifying that these still need to be acknowledged; these are waiting to be processed.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toCount	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/memory/WorkspaceAllocationsTracker.java	P N	to Count	70	This variable represents the data type to get counts for. If you read it along with its type, it becomes 'data type to count'. So 'to' is specifying that these still need to be processed/counted	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toElement	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/ContiguousSet.java	P N	to Element	70	This vairable represents a specific element (of type C), and it is used to determine which subset of elements should be included in the resulting ContiguousSet. The use of 'to' indicates a source-destination relationship, where to is the destination, and the other variable, fromElement, is the source. It could also be seen as a range, where from is the start and to is the end point	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
toFilename	FUNCTION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/SourceExtraction.java	P N	to Filename	70	This variable represents a transformation of a TypeElement into a filename. The use of 'to' indicates this transformation relationship between the element type and a string.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
toHeader	DECLARATION	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/sip/src/main/java/net/java/sipmack/sip/RegisterProcessing.java	P N	to Header	70	This variable represents the destination header. It's the recipient of the SIP request. It specifies a directional relationship from source to destination	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer
