name	context	language	url	split	grammar pattern	Count	notes	split_words	final_axial_code_role	final_axial_code_meaning	Review Status	Christian Axial Code Role	Christian Axial Code Meaning	Syreen Axial Code Role	Syreen Axial Code Meaning	Anthony Axial Code Role	Anthony Axial Code Meaning
arg26	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/blas/CudaBLASDelegator.java	arg 26	N D	125	auto generated code (incremented numbers / distinguishers)	['arg', '26']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
arg29	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-native/src/main/java/org/nd4j/linalg/cpu/nativecpu/OpenblasLapackDelegator.java	arg 29	N D	125	auto generated code (incremented numbers / distinguishers)	['arg', '29']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
arg31	PARAMETER	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	arg 31	N D	125	auto generated code (incremented numbers / distinguishers)	['arg', '31']	Distinguisher	Auto-Generated	Agree	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated	Distinguisher	Auto-Generated
B1110	ATTRIBUTE	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java	B 1110	N D	125	1110 represent the binary pattern: 11100000; there are other names with similar patterns; "B" represents binary. This is a domain term, since it represents a binary pattern defined in UTF8 to help build and interprety UTF8 byte sequences.	['B', '1110']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
b3	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/primitives/Longs.java	b 3	N D	125	Distinguisher -- Represents one of 8 bytes used to construct a long	['b', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
bi0	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/parametrics/cubicCurveseg.cxx	bi 0	N D	125	used as a distinguisher -- there are two identifiers with the same name	['bi', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
body0	PARAMETER	C	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/bullet/bulletContactCallbacks.h	body 0	N D	125	used as a distinguisher -- there are two identifiers with the same name	['body', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
buf3	DECLARATION	C	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/lib/snprintf.c	buf 3	N D	125	used as a distinguisher. buf1 and buf2 are arrays; buf3 is a pointer; so, maybe the name can be improved	['buf', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
caps2	ATTRIBUTE	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/gobj/texture.cxx	caps 2	N D	125	used as a distinguisher -- there are two identifiers with the same name	['caps', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
cmd1	PARAMETER	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/hook/wee-hook-command.c	cmd 1	N D	125	This digit in this variable is a distinguisher, designed to help avoid name colissions with other variables that are named similarly. In this case, there's a cmd2 within the same function	['cmd', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
col1	PARAMETER	C++	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/libnd4j/include/helpers/cpu/svd.cpp	col 1	N D	125	This variable represents column 1 in a matrix, making it a distinguisher	['col', '1']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
command2	DECLARATION	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/hook/wee-hook-command-run.c	command 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names. In this case, there's another variable in this function named command (but without the 2)	['command', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
connection1	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillPreparedStatementImpl.java	connection 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['connection', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
conv0	DECLARATION	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/bin/nnc/coco.c	conv 0	N D	125	the 0 in this variable name represents the first convolution layer, making this a specification number. There are other identifiers in the method having a similar naming format: conv1 . conv2 and conv3	['conv', '0']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
cost1	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/IndexSelector.java	cost 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['cost', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
count1	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/xdiff/xhistogram.c	count 1	N D	125	1 is a distinguisher. There is another parameter called count2	['count', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
count32	DECLARATION	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/relay/weechat/relay-weechat-msg.c	count 32	N D	125	The digit in this variable is a domain number, it reflects the bit width of the integer type of count32-- which is a uint32. In this context, it's providing the developer with information about the memory layout for the variable	['count', '32']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
cp0	DECLARATION	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c	cp 0	N D	125	This variable is a temp pointer used to access a 1D slice of a tensor. The digit's meaning is essentially that this is a pointer offset at the first dimension of the iteration. It can easily be thought of as a base pointer used to calculate offsets at a given level of iteration/slice depth. 	['cp', '0']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
cpt2	DECLARATION	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapnode.cpp	cpt 2	N D	125	The "2" indicates that this relates to the second parameter field cpt2 is an acronym of its data type: ContentParamType2. There is another type called ContentParamType in the project. The 2 is a distinguisher between the two types.	['cpt', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
cs2	PARAMETER	C++	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/metadata.hpp	cs 2	N D	125	The digit in this variable is a distinguisher, designed to distinguish it from other variable swith similar names.	['cs', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ctx2	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/ldap/LdapManager.java	ctx 2	N D	125	used as a distinguisher, there's another variable using the same characters except for the digit	['ctx', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
description2	ATTRIBUTE	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/fset/fset-option.h	description 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['description', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
distance12	PARAMETER	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/community/community_misc.c	distance 12	N D	125	the projection distance from community structure 1 to community structure 2, so these numbers are specification	['distance', '12']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
e3	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/ImmutableMultiset.java	e 3	N D	125	Distinguisher -- represents an element that is to be included in a multiset	['e', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
e8	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ImmutableList.java	e 8	N D	125	Distinguisher -- represents an element that is to be included in a ImmutableList	['e', '8']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
endpoint1	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/server/rest/DrillRoot.java	endpoint 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['endpoint', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
endpoint2	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/server/rest/DrillRoot.java	endpoint 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['endpoint', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
entry1	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/collect/ImmutableMap.java	entry 1	N D	125	Distinguisher -- compares two objects	['entry', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
entry2	DECLARATION	C	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/DHT.c	entry 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['entry', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
error2	FUNCTION	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl5.c	error 2	N D	125	used as a distinguisher -- there are two error reporting functions poor naming as each error method checks something different	['error', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ex1	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/reader/BaseJsonProcessor.java	ex 1	N D	125	The digit in this variable is most likely a distinguisher despite there not being any similar names nearby within the same function. The number does not have a clear meaning outside of simply labeling the variable as being 1 of potentially other variables with similar name.	['ex', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
exit64	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx	exit 64	N D	125	The "64" in the name indicates that it's a 64-bit integer (__int64) used to store process or thread timing information. The 64 is a domain number	['exit', '64']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
expression_7	FUNCTION	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl1.c	expression 7	N D	125	code is used as part of a  mathematical modeling language parser implementation used as a distinguisher -- the number maps to a precedence hierarchy  the naming might be standard for this type of use	['expression', '7']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
expression_8	FUNCTION	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl1.c	expression 8	N D	125	code is used as part of a  mathematical modeling language parser implementation used as a distinguisher -- the number maps to a precedence hierarchy the naming might be standard for this type of use	['expression', '8']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
gw6	PARAMETER	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/route-table.c	gw 6	N D	125	6 indicates IPv6  the identifier represents an IPv6 gateway address, making this a version number	['gw', '6']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
hbp1	DECLARATION	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c	hbp 1	N D	125	The variable is a pointer to a slice of the hb tensor. The digit's meaning isn't super clear, so it seems like it is probably a distinguisher. The digit might have a deeper meaning, but it's not apparent by looking at the code without more understanding of the codebase.	['hbp', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
hp1	DECLARATION	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c	hp 1	N D	125	This variable is a temp pointer used to access a 1D slice of a tensor. The digit's meaning is essentially that this is a pointer offset at the first dimension of the iteration. It can easily be thought of as a base pointer used to calculate offsets at a given level of iteration/slice depth. 	['hp', '1']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
httperf2	FUNCTION	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/httpclient/samples/httperf2/HTTPerf2.cpp	httperf 2	N D	125	The "2" in the name indicates it's a replacement for an older tool called "httperf". The 2 is a version number.	['httperf', '2']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
i1	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/database/ProfiledConnection.java	i 1	N D	125	used as a distinguisher	['i', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
image1	PARAMETER	Java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/util/ImageCombiner.java	image 1	N D	125	The digit in this identifier encodes the position of the image in the arguments lists. It is primarily a distinguisher (differentiating from image2).	['image', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
init2	FUNCTION	C++	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/Net/src/RawSocketImpl.cpp	init 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names. In this case, it is a simply method for doing a naive form of function overloading where the digit suffix differentiates each overloaded version from the others.	['init', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
inp0	DECLARATION	C	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/libpng/mips/filter_msa_intrinsics.c	inp 0	N D	125	distinguisher -- represents one of two inputs	['inp', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
insn0	PARAMETER	C++	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Sources/Architecture/ARM/ThumbBranchInfo.cpp	insn 0	N D	125	instruction 0, which represents the first half of a Thumb-2 instruction, so the 0 is the index. This is a specification for the most part.	['insn', '0']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
insn1	PARAMETER	C++	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Sources/Architecture/ARM/ThumbBranchInfo.cpp	insn 1	N D	125	instruction 1, which represents the second half of a Thumb-2 instruction, so the 1 is the index. This is a specification number.	['insn', '1']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
k6	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/ImmutableMap.java	k 6	N D	125	Distinguisher -- represents the key in a ImmutableMap	['k', '6']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
k7	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/ImmutableSortedMap.java	k 7	N D	125	Distinguisher -- represents the key in a ImmutableSortedMap	['k', '7']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
k8	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/ImmutableMap.java	k 8	N D	125	Distinguisher -- represents the key in a ImmutableMap	['k', '8']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
lk1	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/MurmurHash3.java	lk 1	N D	125	The k1 part of this variable likely refers to the traditional name of the block key variable in MurmurHash algorithms. Thus, the digit in the variable is a domain term, or rather, k1 is a domain term; highlighting what part of the hashing algorithm this variable fits into.	['lk', '1']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
m11	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 11	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '11']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
m13	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 13	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '13']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
m21	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 21	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '21']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
m22	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 22	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '22']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
m23	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 23	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '23']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
